stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
5710AWA10876,,"Crematorium Top",,51.538859105,-3.206692468,,,0,,,0
5710AWA10186,,"Crickhowell Road",,51.519156067,-3.102773708,,,0,,,0
5720AWA10432,,"Crogan Hill",,51.411371068,-3.270511045,,,0,,,0
5710AWA11080,,"Cross Inn",,51.50832688,-3.201029468,,,0,,,0
5710AWA10852,,"Cross Inn",,51.50880952,-3.199557969,,,0,,,0
5710AWA10851,,"Cross Inn",,51.509004931,-3.199793658,,,0,,,0
5710AWA10947,,"Crundale Crescent East",,51.526840931,-3.184367193,,,0,,,0
5710AWA10946,,"Crundale Crescent East",,51.526571726,-3.184196882,,,0,,,0
5710CBZ02527,,"Crundale Crescent West",,51.5261263,-3.187342229,,,0,,,0
5710AWA10961,,"Crystal Glen",,51.517948199,-3.183339009,,,0,,,0
5710AWA10959,,"Crystal Glen",,51.517693293,-3.183649474,,,0,,,0
5720AWA12044,,"Culver Close",,51.426826913,-3.188376367,,,0,,,0
5710AWA11490,,"Culverhouse Pub",,51.469396567,-3.263872929,,,0,,,0
5720AWA11963,,"Custom House Place",,51.44514136,-3.169828843,,,0,,,0
5710CAA02624,,"Customhouse Street JG",,51.476641381,-3.175098553,,,0,,,0
5710CAA02623,,"Customhouse Street JG",,51.476878285,-3.174787852,,,0,,,0
5710AWA11632,,"Cymmer Street",,51.468937692,-3.183797956,,,0,,,0
5710AWA10513,,"Cyncoed Ave",,51.518582064,-3.164028016,,,0,,,0
5710AWA10512,,"Cyncoed Avenue",,51.518574647,-3.163869287,,,0,,,0
5710CAA02566,,"Cyncoed Village",,51.52653118,-3.166710182,,,0,,,0
5710AWA10664,,"Cyncoed Village",,51.526154434,-3.16752221,,,0,,,0
5710AWA10497,,"Cyncoed Village",,51.525837407,-3.16685101,,,0,,,0
5710AWA10663,,"Cyncoed Village",,51.525964506,-3.167632671,,,0,,,0
5710AWA11492,,"Cyntwell Avenue",,51.470462027,-3.257610615,,,0,,,0
5710AWA11491,,"Cyntwell Avenue",,51.470372071,-3.257789983,,,0,,,0
5710AWA10624,,"Cyril Crescent",,51.487775737,-3.156776209,,,0,,,0
5710AWA10776,,"Dalmuir Road",,51.486524649,-3.143148527,,,0,,,0
5710AWA11233,,"Danescourt Way",,51.499562326,-3.23540401,,,0,,,0
5710AWA11210,,Danybryn,,51.517451047,-3.253687417,,,0,,,0
5710AWA11209,,Danybryn,,51.51758825,-3.254310922,,,0,,,0
5710WDB25401,,"Dan-Y-Bryn Ave",,51.518256133,-3.263895556,,,0,,,0
5710AWA11203,,"Dan-Y-Bryn Ave",,51.519518981,-3.262925354,,,0,,,0
5710AWA11202,,"Dan-Y-Bryn Ave",,51.518364462,-3.264089669,,,0,,,0
5710AWA10667,,"Dan-y-Coed Road",,51.522693816,-3.173703768,,,0,,,0
5710AWA10785,,"De Havilland Road",,51.48894634,-3.131729674,,,0,,,0
5710AWA11447,,"Deepwood Close",,51.476228399,-3.271549507,,,0,,,0
5720WDB25352,,"Denbigh Road",,51.4361304,-3.205421568,,,0,,,0
5710AWA11448,,"Denison Way",,51.475791922,-3.273654067,,,0,,,0
5710WDB48429,,"Dental Hospital",,51.506651086,-3.191994205,,,0,,,0
5710AWA10511,,"Derwen Road",,51.527808557,-3.166656348,,,0,,,0
5710AWA11686,,"Despenser Gardens",,51.478972773,-3.188233877,,,0,,,0
5720WDB24120,,"Devon Avenue",,51.409792842,-3.265952418,,,0,,,0
5720AWA10395,,"Dinas Powis Station",,51.431492058,-3.219181287,,,0,,,0
5720AWA10436,,"Dinas Powys Infant School",,51.435970483,-3.212207887,,,0,,,0
5720AWA10390,,"Dinas Powys Infant School",,51.43651334,-3.212754576,,,0,,,0
5720WDB4855,,"Dinas Powys Medical Centre",,51.431598101,-3.202827974,,,0,,,0
5720AWA10391,,"Dinas Powys Sch",,51.435644984,-3.213249492,,,0,,,0
5720AWA10435,,"Dinas Powys Square",,51.434447391,-3.219378523,,,0,,,0
5720CBZ02546,,"Dinas Road",,51.429479156,-3.184863416,,,0,,,0
5720AWA12342,,"Dinas Road",,51.430245721,-3.18553057,,,0,,,0
5720WDB23956,,"Dinas Road Rounabout",,51.42873399,-3.190957513,,,0,,,0
5710AWA10484,,"Discovery Inn",,51.514939089,-3.168676524,,,0,,,0
5710AWA10483,,"Discovery Inn",,51.514891126,-3.168977938,,,0,,,0
5720WDB48396,,"Dochdwy Road",,51.448268002,-3.193910334,,,0,,,0
5720CBZ02538,,"Dochdwy Road PO",,51.449351133,-3.196401308,,,0,,,0
5720AWA10737,,"Docks Link Road",,51.429558969,-3.259968092,,,0,,,0
5720AWA10736,,"Docks Link Road",,51.429797022,-3.259571866,,,0,,,0
5710AWA10517,,"Dogfield Street",,51.496555307,-3.180782385,,,0,,,0
5710WDB25439,,Dol-y-Felin,,51.521891629,-3.330534498,,,0,,,0
5710AWA10134,,"Downton Grange",,51.503871906,-3.121531219,,,0,,,0
5710AWA11424,,"Dulwich House",,51.488359295,-3.210313173,,,0,,,0
5710WDB23323,,"Dumballs Road Bottom",,51.465689843,-3.170541523,,,0,,,0
5710WDB23328,,"Dumballs Road Bottom",,51.465878194,-3.170589532,,,0,,,0
5710AWA12736,,"Dumfries Place HV",,51.483623779,-3.171936879,,,0,,,0
5710AWA12737,,"Dumfries Place",,51.484088504,-3.17222243,,,0,,,0
5710WDB23569,,"Dunleavy Drive",,51.454356798,-3.188285309,,,0,,,0
5710AWL26183,,"Dunleavy Drive",,51.45260914,-3.189045869,,,0,,,0
5710AWA11630,,"Durham Street",,51.471107851,-3.186604108,,,0,,,0
5710AWA11484,,"Dusty Forge",,51.473376038,-3.25587655,,,0,,,0
5710AWA11566,,"Dusty Forge",,51.473188075,-3.256634507,,,0,,,0
5720AWA10428,,"Dyfan Rd",,51.415041283,-3.264558747,,,0,,,0
5720AWA10429,,"Dyfan Rd / Barry Rd",,51.412209921,-3.26528585,,,0,,,0
5720AWA10427,,"Dyfan Road",,51.414979599,-3.264442003,,,0,,,0
5720AWA12351,,"Dyserth Rd",,51.436097625,-3.184952259,,,0,,,0
5720AWA12350,,"Dyserth Rd",,51.435931158,-3.184616769,,,0,,,0
5710AWA11609,,"Earl Street",,51.462643232,-3.18380778,,,0,,,0
5710CBZ02504,,"Earl`s Court Road",,51.498387305,-3.155748341,,,0,,,0
5710WDB48383,,"East Park & Ride",,51.521251194,-3.135514093,,,0,,,0
5710AWA11766,,"East Tyndall Street",,51.479275283,-3.156863491,,,0,,,0
5720AWA10388,,Eastbrook,,51.438992255,-3.205407002,,,0,,,0
5720AWA10389,,Eastbrook,,51.438491253,-3.205814644,,,0,,,0
5710AWA10107,,"Eastern Leisure Centre",,51.512909372,-3.130824836,,,0,,,0
5710AWA10084,,"Eastern Leisure Centre",,51.51348034,-3.129426697,,,0,,,0
5710AWA10083,,"Eastern Leisure Centre",,51.512559469,-3.130744116,,,0,,,0
5710WDB48566,,"Eastgate Business Park",,51.499866307,-3.12197312,,,0,,,0
5710WDB48570,,"Eastgate Business Park",,51.500652785,-3.120594961,,,0,,,0
5310AWB31087,,"Ebbw Bridge Club",,51.569977661,-3.015092926,,,0,,,0
5720AWA12006,,"Elfed Avenue",,51.435579969,-3.19330796,,,0,,,0
5720AWA12000,,"Elfed Avenue",,51.435494759,-3.18930628,,,0,,,0
5720AWA11999,,"Elfed Avenue",,51.435413414,-3.189347326,,,0,,,0
5710AWA10094,,"Elgar Crescent",,51.52503648,-3.117993535,,,0,,,0
5710AWA10093,,"Elgar Crescent",,51.524702761,-3.118100676,,,0,,,0
5720AWA10393,,"Elm Grove",,51.433854077,-3.215129768,,,0,,,0
5720AWA10392,,"Elm Grove",,51.434244355,-3.214780471,,,0,,,0
5710AWA10050,,"Elm Street",,51.487230748,-3.160060652,,,0,,,0
5710AWA11330,,"Ely Bridge",,51.484363418,-3.226222325,,,0,,,0
5710AWA11320,,"Ely Bridge",,51.484800083,-3.22745822,,,0,,,0
5710AWA11572,,"Ely Legion",,51.483199278,-3.233478303,,,0,,,0
5710AWA11482,,"Ely Police Station",,51.476498162,-3.246429837,,,0,,,0
5710AWA11568,,"Ely Police Station",,51.476659818,-3.246448644,,,0,,,0
5710AWA11331,,"Ely Road",,51.486645356,-3.228991259,,,0,,,0
5720AWA12022,,"Enterprise Centre",,51.40657554,-3.225175136,,,0,,,0
5720AWA12023,,"Enterprise Centre",,51.406462855,-3.225632203,,,0,,,0
5710AWA11344,,"Everswell Rd",,51.489909652,-3.243468374,,,0,,,0
